date,geography,geography_code,metric,stratum,metric_value,theme,sub_theme,topic,geography_type,metric_group,sex,age,year,month,epiweek,in_reporting_delay_period
2021-02-01,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",QHG,e-coli_testing_bacteraemiaPercentResistantRollingMonth,Ciprofloxacin,21.43,infectious_disease,antimicrobial_resistance,E-coli,Integrated Care Board,testing,all,all,2021,2,5,FALSE
2021-03-01,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",QHG,e-coli_testing_bacteraemiaPercentResistantRollingMonth,Ciprofloxacin,25,infectious_disease,antimicrobial_resistance,E-coli,Integrated Care Board,testing,all,all,2021,3,9,FALSE
2021-04-01,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",QHG,e-coli_testing_bacteraemiaPercentResistantRollingMonth,Ciprofloxacin,25,infectious_disease,antimicrobial_resistance,E-coli,Integrated Care Board,testing,all,all,2021,4,13,FALSE
2021-05-01,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",QHG,e-coli_testing_bacteraemiaPercentResistantRollingMonth,Ciprofloxacin,31,infectious_disease,antimicrobial_resistance,E-coli,Integrated Care Board,testing,all,all,2021,5,18,FALSE
2021-06-01,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",QHG,e-coli_testing_bacteraemiaPercentResistantRollingMonth,Ciprofloxacin,27.78,infectious_disease,antimicrobial_resistance,E-coli,Integrated Care Board,testing,all,all,2021,6,22,FALSE
2021-07-01,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",QHG,e-coli_testing_bacteraemiaPercentResistantRollingMonth,Ciprofloxacin,25.25,infectious_disease,antimicrobial_resistance,E-coli,Integrated Care Board,testing,all,all,2021,7,26,FALSE
2021-08-01,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",QHG,e-coli_testing_bacteraemiaPercentResistantRollingMonth,Ciprofloxacin,18.37,infectious_disease,antimicrobial_resistance,E-coli,Integrated Care Board,testing,all,all,2021,8,31,FALSE
2021-09-01,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",QHG,e-coli_testing_bacteraemiaPercentResistantRollingMonth,Ciprofloxacin,17.86,infectious_disease,antimicrobial_resistance,E-coli,Integrated Care Board,testing,all,all,2021,9,35,FALSE
2021-10-01,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",QHG,e-coli_testing_bacteraemiaPercentResistantRollingMonth,Ciprofloxacin,18.1,infectious_disease,antimicrobial_resistance,E-coli,Integrated Care Board,testing,all,all,2021,10,40,FALSE
2021-11-01,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",QHG,e-coli_testing_bacteraemiaPercentResistantRollingMonth,Ciprofloxacin,16.67,infectious_disease,antimicrobial_resistance,E-coli,Integrated Care Board,testing,all,all,2021,11,44,FALSE
